title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
"Pneumatic Muscles Hydraulic Smiles , 2010","$592,350","$459,780","$766,300",Signed and Dated,"26.18"" x 32.09""",2010,Acrylic / Canvas,14,Phillips London,10/14/2015
Vowel #58 (U),"$40,630","$20,000","$30,000",unknown,"7.13"" x 5.68""",1996,Oil  on Various Small Fires book cover,218,Los Angeles Modern Auctions (LAMA),10/11/2015
SELMA MEETS VINE,"$286,000","$180,000","$250,000",Signed and Dated,"16.00"" x 24.00""",1999,Acrylic / Linen,82,Sotheby's New York,09/29/2015
"Selma/Vine , 1998","$112,500","$70,000","$90,000",Signed and Dated,"14.00"" x 22.00""",1998,Acrylic / Paper,26,Phillips New York,09/17/2015
"Zero , 1996","$87,500","$70,000","$90,000",Signed and Dated,"16.13"" x 28.00""",1996,Colored Pencil  on lithograph,27,Phillips New York,09/17/2015
Zoot Soot,"$9,670",n/a,n/a,Signed and Dated,"10.94"" x 13.58""",2015,die-cut letterpress on handmade paper with colour threads,280,Dreweatts & Bloomsbury Auctions London,07/02/2015
Woman on Fire,"$2,158,130","$1,417,230","$1,889,640",Signed and Dated,"35.98"" x 47.99""",1990,Acrylic / Canvas,46,"Christie's London, King Street",06/30/2015
"Fairly Small Torpedos, 1974","$362,970","$157,470","$283,450",Signed and Dated,"22.76"" x 28.62""",1974,gunpowder and pastel / Paper,34,Phillips London,06/29/2015
"Ship Talk, 1988","$1,392,820","$629,880","$944,820",Signed and Dated,"55.98"" x 134.25""",1988,Acrylic / Canvas,35,Phillips London,06/29/2015
"Anchor Stuck in Sand, 1990","$589,730","$472,410","$787,350",Signed and Dated,"60.24"" x 112.24""",1990,Acrylic / Canvas,36,Phillips London,06/29/2015
"She Slept With Two Windup Alarm Clocks, 1978","$570,830","$629,880","$944,820",Signed and Dated,"15.98"" x 60.00""",1978,Acrylic / Canvas,37,Phillips London,06/29/2015
"""99% Angel, 1% Devil""","$341,000","$80,000","$120,000",Signed and Dated,"21.00"" x 27.25""",1983,Dry pigment on Grumbacher paper,70058,Heritage Auctions,05/30/2015
"Whiskers, Splinters, 1972","$221,000","$150,000","$200,000",Signed and Dated,"11.50"" x 29.00""",1972,gunpowder / Paper,135,Phillips New York,05/15/2015
"Porch Crop, 2001","$2,165,000","$1,800,000","$2,500,000",Signed and Dated,"64.00"" x 72.00""",2001,Acrylic / Canvas,19,Phillips New York,05/14/2015
"Fee, 1971","$389,000","$250,000","$350,000",Signed Initials,"11.50"" x 29.00""",1971,Pastel  and gunpowder / Paper,20,Phillips New York,05/14/2015
"Rooster, 1970","$389,000","$250,000","$350,000",Signed and Dated,"11.50"" x 29.00""",1970,Pastel  and gunpowder / Paper,21,Phillips New York,05/14/2015
"Psycho Spaghetti Western #8, 2010-11","$965,000","$600,000","$800,000",Signed and Dated,"48.00"" x 110.00""",2010-11,Acrylic  and used motor oil / Canvas,22,Phillips New York,05/14/2015
WHIZ KIDS,"$4,197,000","$3,500,000","$5,500,000",Signed and Dated,"66.13"" x 66.13""",1987,Acrylic / Canvas,69B,"Christie's New York, Rockefeller Center",05/13/2015
OH,"$1,060,000","$600,000","$800,000",Signed on Reverse,"35.98"" x 40.00""",1983,Oil / Canvas,214,Sotheby's New York,05/13/2015
OK,"$5,402,000","$3,000,000","$4,000,000",Signed and Dated,"72.00"" x 72.00""",1990,Acrylic / Canvas,5,Sotheby's New York,05/12/2015
TRUTH,-not sold-,"$3,500,000","$5,000,000",Signed and Dated,"54.00"" x 60.00""",1997,Acrylic / Canvas,39,Sotheby's New York,05/12/2015
GOODS AND SERVICES,"$970,000","$600,000","$800,000",Signed and Dated,"26.00"" x 48.00""",2012-14,Acrylic / Canvas,45,Sotheby's New York,05/12/2015
"Thinking the Same, 1974","$197,000","$60,000","$80,000",Signed and Dated,"22.38"" x 28.75""",1974,Pastel / Paper,63,Doyle New York,05/12/2015
I CAN'T NOT DO THAT,"$3,870,300","$1,857,000","$2,785,500",Signed on Reverse,"77.56"" x 77.56""",1998,Acrylic / Canvas,9,"Sotheby's London, New Bond Street",03/10/2015
STUDEBAKER HAWK,-not sold-,"$464,250","$619,000",Signed on Reverse,"64.09"" x 63.98""",1994,Acrylic  and pencil / Canvas,34,"Sotheby's London, New Bond Street",03/10/2015
The World,"$161,000","$150,000","$200,000",Signed and Dated,"23.00"" x 29.00""",1977,carrot juice / Paper,86,"Christie's New York, Rockefeller Center",03/06/2015
"Cherry, 1967","$665,000","$600,000","$800,000",Signed and Dated,"14.25"" x 22.75""",1967,gunpowder / Paper,5,Phillips New York,03/03/2015
Pearl Dust Combination (from Insects Portfolio),"$4,063","$2,000","$3,000",Signed Lower Right,"20.13"" x 27.00""",1972,9-color screenprint with pearl dust on Fabriano Classico glazed-finish watercolor paper,11,Los Angeles Modern Auctions (LAMA),03/01/2015
Damn Mad Open Book,"$282,420","$232,130","$309,500",Signed and Dated,"17.99"" x 24.02""",2003,Acrylic / Linen,193,"Christie's London, King Street",02/12/2015
Block Party,"$77,380","$30,950","$38,690",Signed and Dated,"19.96"" x 19.96""",1991,Acrylic  and dry pigment / Card,274,"Christie's London, King Street",02/12/2015
Sleeping Clothes,"$269,000","$150,000","$200,000",Signed and Dated,"22.75"" x 28.75""",1973,Pastel / Paper,137,"Christie's New York, Rockefeller Center",11/13/2014
Texas,-not sold-,"$400,000","$600,000",Inscribed and Signed,"13.50"" x 12.75""",1962,Oil  with newsprint and wax on treated paper / Paper,261,"Christie's New York, Rockefeller Center",11/13/2014
Fizz,-not sold-,"$120,000","$180,000",Signed and Dated,"14.00"" x 22.00""",2011,Acrylic  and dry pigment / Board,309,"Christie's New York, Rockefeller Center",11/13/2014
The End,"$629,000","$150,000","$250,000",Signed and Dated,"19.50"" x 26.00""",1997,Acrylic / Paper,325,"Christie's New York, Rockefeller Center",11/13/2014
Be Cautious Else We Be Bangin on You,"$112,500","$60,000","$80,000",Signed and Titled,"20.00"" x 16.00""",1997,bleach on rayon mounted on board / Board,348,"Christie's New York, Rockefeller Center",11/13/2014
Radio on Royal Blue,"$3,301,000","$1,200,000","$1,800,000",Signed and Dated,"15.00"" x 12.00""",1963,Ink  and oil / Paper,11,"Christie's New York, Rockefeller Center",11/12/2014
Smash,"$30,405,000","$15,000,000","$20,000,000",Signed and Dated,"71.75"" x 67.00""",1963,Oil / Canvas,30,"Christie's New York, Rockefeller Center",11/12/2014
CITY—CITY,"$293,000","$100,000","$150,000",Signed and Dated,"23.00"" x 29.00""",1982,Paper / Paper,252,Sotheby's New York,11/12/2014
AUG. BE ANYWHERE EXCEPT L.A. DURING THE OLYMPICS,"$161,000","$120,000","$180,000",Signed and Dated,"23.00"" x 29.00""",1984,dry pigment / Paper,255,Sotheby's New York,11/12/2014
WHIZ,-not sold-,"$120,000","$180,000",Signed and Dated,"20.00"" x 30.00""",2007,Acrylic / Board,301,Sotheby's New York,11/12/2014
AVERAGES,-not sold-,"$600,000","$800,000",Signed and Titled,"32.00"" x 120.00""",1987,Acrylic / Canvas,302,Sotheby's New York,11/12/2014
EVERYTHING STUDY,"$40,000","$30,000","$40,000",Signed and Dated,"8.88"" x 14.88""",1992,Ink  and acrylic on 2 sheets of paper mounted to museum board,314,Sotheby's New York,11/12/2014
EXTENDED JET (D.2013.31),"$20,000","$20,000","$30,000",Signed and Dated,"5.38"" x 7.38""",2013,graphite on die-cut graph paper,472,Sotheby's New York,11/12/2014
"Sunset, Fairfax",,"$90,000","$120,000",Signed Lower Right,"13.50"" x 22.25""",2003,Acrylic / Paper,70220,Heritage Auctions,11/08/2014
Advertisement,-not sold-,"$8,000","$12,000",Signed and Dated,"10.00"" x 8.00""",2012,Colored Pencil  and photograph / Paper,70227,Inquire about post-auction sale,11/08/2014
Home with Complete Electronic Security System,"$415,640","$132,580","$198,870",unknown,"50.00"" x 38.19""",1982,Pastel / Paper,90,Christie's Paris,10/29/2014
"Crown, 1993","$115,290","$92,850","$123,800",Signed and Dated,"22.24"" x 29.02""",1993,dry pigment and acrylic / Paper,153,Phillips London,10/16/2014
Busted,-not sold-,"$12,380","$18,570",Signed Lower Right,"12.13"" x 9.06""",2007,Pencil  and gouache / Paper,151,"Christie's London, South Kensington",09/25/2014
WORLD,"$149,000","$100,000","$150,000",Signed and Dated,"23.00"" x 29.00""",1977,blackberry juice / Paper,2,Sotheby's New York,09/24/2014
VOWEL #46 (O) - HARD LIGHT,"$20,000","$10,000","$15,000",Signed and Dated,"7.00"" x 5.25""",1996,Acrylic  on book cover,53,Sotheby's New York,09/24/2014
SEVERAL FLAMES,"$305,000","$250,000","$350,000",Signed on Overlap,"19.88"" x 23.88""",1973,egg white on rayon,122,Sotheby's New York,09/24/2014
T-Bird,-not sold-,"$70,000","$100,000",Signed and Dated,"10.00"" x 13.00""",2003,Acrylic / Linen,91,"Christie's New York, Rockefeller Center",09/23/2014
"St.-Ave., 2003","$93,750","$80,000","$120,000",Signed and Dated,"22.00"" x 28.00""",2003,lithograph and hand-painted acrylic text / Paper,47,Phillips New York,09/16/2014
"Spots, 1972","$356,700","$278,550","$386,880",Signed Initials,"11.42"" x 29.02""",1972,Pastel  with gunpowder and graphite,15,Phillips London,07/02/2014
"Reef, 1975",-not sold-,"$232,130","$386,880",Signed on Reverse,"14.13"" x 22.76""",1975,Chalk  with blackberry jam / Paper,20,Phillips London,07/02/2014
Señorita,"$356,700","$309,500","$464,250",Signed and Titled,"42.13"" x 28.15""",1989,Oil / Canvas,175,"Christie's London, King Street",07/02/2014
THREE BOOKS,"$152,430","$123,800","$185,700",Signed and Dated,"17.99"" x 22.01""",2001,Acrylic / Linen,356,"Sotheby's London, New Bond Street",07/01/2014
"Doric, 1996","$629,000","$300,000","$500,000",Signed and Dated,"54.00"" x 40.13""",1996,Acrylic / Canvas,236,Phillips New York,05/16/2014
"Black and White Palette, 1988","$52,500","$45,000","$65,000",Signed and Dated,"30.00"" x 24.00""",1988,Acrylic / Paper,237,Phillips New York,05/16/2014
WILSHIRE TO PICO,"$161,000","$80,000","$120,000",Signed and Dated,"40.13"" x 60.13""",1999,Acrylic / Paper,500,Sotheby's New York,05/15/2014
SHE GETS ANGRY AT HIM,"$2,105,000","$600,000","$800,000",Unavailable,"36.00"" x 40.00""",1974,Mixed Media  egg yolk on moiré,6,Sotheby's New York,05/14/2014
Fuel,"$293,000","$150,000","$200,000",Signed and Dated,"11.75"" x 28.88""",1970,Pastel  and graphite / Paper,263,"Christie's New York, Rockefeller Center",05/14/2014
A Wad Of Fun,"$137,000","$100,000","$150,000",Signed and Dated,"16.00"" x 20.00""",2013,bleach on fabric covered board / Board,309,"Christie's New York, Rockefeller Center",05/14/2014
Stains,"$281,510","$229,800","$306,400",Signed and Dated,"21.26"" x 27.17""",1970,gunpowder / Paper,414,Bukowski Stockholm,05/14/2014
Inferno,"$2,965,000","$2,000,000","$3,000,000",Signed and Dated,"72.00"" x 72.00""",1987,Acrylic / Canvas,21,"Christie's New York, Rockefeller Center",05/12/2014
WEE WEE,"$413,000","$150,000","$200,000",Signed and Dated,"13.25"" x 21.88""",1967,gunpowder / Paper,27,Sotheby's New York,03/07/2014
No Go,"$17,500","$18,000","$25,000",Signed Lower Right,"5.25"" x 7.38""",2013,graphite / Paper,27,"Christie's New York, Rockefeller Center",03/06/2014
O,-not sold-,"$15,000","$20,000",Signed and Dated,"12.00"" x 7.75"" x 2.75""",1997,bleach on book cover,58,"Christie's New York, Rockefeller Center",03/06/2014
Fruit-Metrecal Hollywood,"$11,250","$7,000","$9,000",Signed Lower Left,"10.00"" x 37.50""",1971,2-color screenprint with grape and apricot jam and Metrecal soda on Copperplate Deluxe paper,223,Los Angeles Modern Auctions (LAMA),02/23/2014
AMEN,-not sold-,"$154,750","$232,130",Signed and Dated,"20.00"" x 30.00""",2007,Acrylic  on Museum board,327,"Sotheby's London, New Bond Street",02/13/2014
CHERRY,"$263,850","$108,330","$154,750",Signed and Dated,"7.76"" x 9.76""",1967,gunpowder / Paper,31,"Sotheby's London, New Bond Street",02/12/2014
SEVERAL FLAMES,-not sold-,"$386,880","$541,630",Signed and Dated,"19.72"" x 23.74""",1973,Egg white on Satin,42,"Sotheby's London, New Bond Street",02/12/2014
TOMORROW'S THINKING,"$224,170","$106,060","$159,100",Unavailable,"28.74"" x 22.83""",1983,Ink  and pigments / Paper,30,Artcurial,12/02/2013
Make New History. 2009,"$1,063",$700,$900,Signed,"5.13"" x 7.38"" x 2.50""",not given,Paper,733,Rago Arts and Auction Center,11/16/2013
ROOSTER,"$605,000","$500,000","$700,000",Signed and Dated,"60.00"" x 40.00""",1987,Acrylic / Canvas,260,Sotheby's New York,11/14/2013
CORKSCREW CLAUSE,"$185,000","$150,000","$200,000",Signed and Dated,"23.00"" x 29.00""",1979,Pastel / Paper,262,Sotheby's New York,11/14/2013
THE WORLD,"$149,000","$150,000","$200,000",Signed and Dated,"23.00"" x 29.00""",1977,carrot juice / Paper,270,Sotheby's New York,11/14/2013
THE END #10,"$173,000","$150,000","$200,000",Signed on Overlap,"24.00"" x 30.00""",1993,Acrylic / Paper,275,Sotheby's New York,11/14/2013
HEAR ME?,"$106,250","$60,000","$80,000",Signed and Dated,"60.00"" x 40.50""",1986,Acrylic  and dry pigment / Paper,282,Sotheby's New York,11/14/2013
SHEET WITH RED CABBAGE STAIN,"$149,000","$150,000","$200,000",Signed and Dated,"14.50"" x 23.00""",1973,gunpowder and red cabbage / Paper,242,"Christie's New York, Rockefeller Center",11/13/2013
IF STUDY #1,-not sold-,"$80,000","$120,000",Signed and Dated,"9.50"" x 21.00""",1996,Acrylic  with charcoal and pastel / Paper,270,"Christie's New York, Rockefeller Center",11/13/2013
Untitled,"$4,197,000","$1,500,000","$2,500,000",Signed and Dated,"59.25"" x 145.50""",1985,Oil / Canvas,5,"Christie's New York, Rockefeller Center",11/12/2013
"VOWEL #73 (O), 1996",-not sold-,"$20,000","$30,000",Signed and Titled,"10.00"" x 8.00""",1996,Acrylic  on the artist's book Thirtyfour Parking Lots,186,Phillips New York,11/12/2013
"Higher Standards / Lower Prices, 2007","$2,405,000","$1,500,000","$2,500,000",Signed and Titled,Dimensions not available,2007,Acrylic / Canvas,9,Phillips New York,11/11/2013
"Angry People, 1973","$845,000","$600,000","$800,000",Inscribed and Signed,"20.00"" x 24.00""",1973,Oil / Canvas,16,Phillips New York,11/11/2013
A M,not,"$80,000","$120,000",Signed and Dated,"40.00"" x 29.75""",1988,Acrylic  and dry pigment / Paper,606,Christie's Online,11/07/2013
"Idea, 1976","$375,270","$232,130","$386,880",Signed and Dated,"22.72"" x 28.74""",1976,Pastel / Paper,18,Phillips London,10/16/2013-10/17/2013
Vowel E,"$25,000","$15,000","$20,000",unknown,"7.00"" x 5.00""",1996,Oil  on Hard Light book cover,261,Los Angeles Modern Auctions (LAMA),10/13/2013
Water,"$212,350","$198,070","$297,100",Signed and Dated,"11.50"" x 28.98""",1970,Pastel  and gunpowder / Paper,31,Christie's Shanghai,09/26/2013
DEVIL,"$337,300","$277,870","$385,930",Signed and Dated,"21.14"" x 28.11""",1975,Blackberry juice / Paper,2,"Sotheby's London, New Bond Street",06/26/2013
Crackers,"$1,250",$600,$800,unknown,"8.75"" x 6.00""",1969,Octavo wrappers with dustjacket,72071,Heritage Auctions,05/22/2013
Rustic Pines,"$290,500","$150,000","$200,000",Signed Lower Right,"14.00"" x 22.50""",1967,gunpowder / Paper,72073,Heritage Auctions,05/22/2013
"Open Book with Worm Holes, 2012","$2,375","$1,800","$2,400",Signed,"17.00"" x 23.25""",2012,Hand printed lithograph in 7 colors,879,Rago Arts and Auction Center,05/18/2013
"Face Shield, 1974","$185,000","$180,000","$250,000",Signed and Dated,"11.13"" x 28.63""",1974,Pastel / Paper,173,Phillips New York,05/17/2013
Pressurized Diabolics,"$231,750","$150,000","$200,000",Signed and Dated,"22.50"" x 28.50""",1976,Pastel / Paper,225,"Christie's New York, Rockefeller Center",05/16/2013
Europa,"$603,750","$600,000","$800,000",Signed and Dated,"54.00"" x 54.00""",1986,Acrylic / Canvas,231,"Christie's New York, Rockefeller Center",05/16/2013
Polynesian Sickness,"$111,750","$100,000","$150,000",Signed and Dated,"23.00"" x 29.00""",1984,Dry Pigment / Paper,285,"Christie's New York, Rockefeller Center",05/16/2013
Restraint,"$363,750","$300,000","$400,000",Signed and Dated,"20.00"" x 24.00""",2008,Acrylic / Canvas,287,"Christie's New York, Rockefeller Center",05/16/2013
Mint (Red),"$4,827,750","$2,500,000","$3,500,000",Signed and Dated,"60.00"" x 55.00""",1968,Oil / Canvas,7,"Christie's New York, Rockefeller Center",05/15/2013
"DID ANYONE SAY ""DREAMBOAT""?","$365,000","$120,000","$180,000",Signed and Dated,"21.50"" x 28.50""",1975,Pastel / Paper,225,Sotheby's New York,05/15/2013
E STAINED WITH SUNTAN OIL,-not sold-,"$150,000","$200,000",Signed and Dated,"14.50"" x 23.00""",1973,gunpowder and suntan oil / Paper,251,Sotheby's New York,05/15/2013
ST. AVE. BLVD. #2,"$118,750","$20,000","$30,000",Signed and Dated,"9.38"" x 12.25""",2012,Acrylic / Board,252,Sotheby's New York,05/15/2013
OXIDES,"$251,000","$200,000","$300,000",Signed and Dated,"23.25"" x 29.00""",1971,Pastel  and gunpowder / Paper,295,Sotheby's New York,05/15/2013
UH OH,"$1,205,000","$500,000","$700,000",Signed and Dated,"30.00"" x 36.00""",2012,Acrylic / Canvas,404,Sotheby's New York,05/15/2013
BALTIMORE ORIOLE SECURING FRESHWATER FISH,"$4,757,000","$3,000,000","$5,000,000",Signed and Dated,"59.00"" x 55.00""",1965,Oil / Canvas,31,Sotheby's New York,05/14/2013
"Me and The, 2002","$2,000","$2,000","$3,000",unknown,"5.25"" x 7.25"" x 2.25""",not given,Sculptural book with double fore-edge printing and gold gilt edges,225,Phillips New York,04/29/2013
Anchor Stuck in Sand,"$550,000","$600,000","$800,000",Signed and Dated,"60.24"" x 112.24""",1990,Acrylic / Canvas,15,Phillips New York,03/07/2013
Ash,"$414,270","$187,420","$281,120",Signed Initials,"11.50"" x 29.02""",1971,Pastel  and gunpowder / Paper,172,"Christie's London, King Street",02/14/2013
Rehab Pump Doctors,"$1,728,390","$1,563,800","$2,345,700",Signed and Dated,"76.38"" x 74.76""",1998,Oil / Canvas,55,"Christie's London, King Street",02/13/2013
A SUN ON USA,-not sold-,"$312,760","$469,140",Signed and Dated,"20.00"" x 23.98""",2002,Acrylic  and ink / Linen,185,"Sotheby's London, New Bond Street",02/13/2013
"""Cracks"".","$129,640","$64,820","$103,710",unknown,"35.94"" x 40.00""",1974,Mixed Media,423,Van Ham Kunstauktionen,11/28/2012-11/29/2012
"99% Angel, 1% Devil","$1,022,500","$1,000,000","$1,500,000",Signed and Dated,"36.00"" x 40.00""",1983,Oil / Canvas,11,Phillips de Pury & Co. (see Phillips),11/15/2012
Black Hollywood,"$1,142,500","$600,000","$800,000",Signed and Titled,"22.00"" x 80.00""",1984,Acrylic / Canvas,121,"Christie's New York, Rockefeller Center",11/15/2012
Mother Stumped,"$326,500","$150,000","$200,000",Signed and Dated,"60.00"" x 40.25""",1986,Acrylic  and dry pigment / Paper,122,"Christie's New York, Rockefeller Center",11/15/2012
Europe,"$266,500","$250,000","$350,000",Signed and Dated,"26.00"" x 48.00""",1989,Acrylic / Canvas,126,"Christie's New York, Rockefeller Center",11/15/2012
Stains,-not sold-,"$200,000","$300,000",Signed and Dated,"11.50"" x 28.75""",1970,Pastel  and gunpowder / Paper,170,"Christie's New York, Rockefeller Center",11/15/2012
Black and White Palette,"$43,750","$60,000","$80,000",Signed and Dated,"30.00"" x 24.00""",1988,Acrylic / Paper,430,"Christie's New York, Rockefeller Center",11/15/2012
Yes,"$386,500","$150,000","$250,000",Signed and Dated,"60.00"" x 40.00""",1986,Acrylic  and dry pigment / Paper,431,"Christie's New York, Rockefeller Center",11/15/2012
Sin,"$962,500","$300,000","$500,000",Inscribed and Signed,"14.25"" x 23.75""",1967,Ink  and gunpowder / Paper,45,"Christie's New York, Rockefeller Center",11/14/2012
LITTLE BLACK GIRL,"$170,500","$200,000","$300,000",Signed and Dated,"60.13"" x 40.13""",1986,dry pigment / Paper,192,Sotheby's New York,11/14/2012
SHIP TALK,-not sold-,"$1,000,000","$1,500,000",Signed and Dated,"56.00"" x 134.00""",1988,Acrylic / Canvas,49,Sotheby's New York,11/13/2012
"""O""","$19,070","$16,060","$24,080",Signed and Dated,"8.07"" x 5.20"" x 1.18""",1997,"bleach on cloth-bound book titled ""The Populist Revolution""",235,"Sotheby's London, New Bond Street",10/13/2012
A M,-not sold-,"$128,180","$192,260",Signed and Dated,"40.24"" x 29.88""",1988,Acrylic  and dry pigment / Paper,228,"Christie's London, King Street",10/12/2012
Hope,"$290,400","$240,330","$320,440",Signed and Dated,"57.99"" x 37.99""",1986,Acrylic  and dry pigment / Paper,229,"Christie's London, King Street",10/12/2012
Study for Light,-not sold-,"$80,010","$128,020",Unavailable,"17.40"" x 34.37""",1989-90,Acrylic  with spray enamel and paper collage / Board,50,Bonhams Bond Street,10/11/2012
"O, 1997","$11,880","$10,000","$15,000",Signed and Dated,"8.50"" x 5.75"" x 0.88""",1997,bleach painting on a 1968 edition of a cloth-bound book entitled The Professional Altruist,105,Bonhams California,10/03/2012
"Ace of Hearts, 2003","$60,000","$20,000","$30,000",Signed and Dated,"9.00"" x 6.00""",2003,"Ink  with marker, and spray paint / Board",81,Phillips de Pury & Co. (see Phillips),09/20/2012
Hope,"$230,500","$200,000","$300,000",Signed on Reverse,"36.13"" x 40.13""",1992,Acrylic  and wood / Canvas,131,"Christie's New York, Rockefeller Center",09/19/2012
Someone Home,"$151,210","$155,490","$233,240",Signed and Dated,"24.02"" x 30.00""",2003,Acrylic / Paper,164,Phillips de Pury & Co. (see Phillips),06/29/2012
Forgotten Landing Zone,"$142,400","$78,030","$93,630",Signed Lower Right,"22.95"" x 29.02""",1982,dry pigment / Paper,200,"Christie's London, King Street",06/28/2012
"Wanze, 1967","$140,500","$120,000","$220,000",Signed and Dated,"14.50"" x 22.50""",1967,"gunpowder, dry pigment and graphite / Paper",75,Bonhams California,05/21/2012
H.M.S Nevertheless,"$158,500","$150,000","$200,000",Signed and Dated,"30.00"" x 20.13""",2003,Acrylic / Paper,170,Phillips de Pury & Co. (see Phillips),05/11/2012
Anchor Stuck in Sand,-not sold-,"$700,000","$900,000",Signed and Dated,"60.25"" x 112.25""",1990,Acrylic / Canvas,16,Phillips de Pury & Co. (see Phillips),05/10/2012
THE END #28,-not sold-,"$200,000","$300,000",Signed and Dated,"24.00"" x 30.00""",2003,Acrylic  and ink / Paper,230,Sotheby's New York,05/10/2012
FUTURE,"$98,500","$25,000","$35,000",Signed and Dated,"9.38"" x 12.25""",2012,Acrylic  with dry pigment / Board,244,Sotheby's New York,05/10/2012
SIZEABLE,-not sold-,"$200,000","$300,000",Signed and Dated,"60.00"" x 40.25""",1985,Acrylic  with dry pigment / Paper,247,Sotheby's New York,05/10/2012
MOUNTAIN  STANDARD,-not sold-,"$1,200,000","$1,800,000",Signed and Titled,"64.25"" x 72.00""",2000,Acrylic / Canvas,55,Sotheby's New York,05/09/2012
The End #46,"$182,500","$150,000","$250,000",Signed and Dated,"24.00"" x 30.00""",2004,Acrylic  ink and pencil / Paper,113,"Christie's New York, Rockefeller Center",05/09/2012
Ting...,"$98,500","$80,000","$120,000",Signed and Dated,"23.00"" x 29.00""",1984,dry pigment / Paper,17,Phillips de Pury & Co. (see Phillips),03/08/2012
Blue Scream,"$554,500","$150,000","$200,000",Signed and Dated,"13.75"" x 12.00""",1964,Tempera  and graphite / Paper,77,"Christie's New York, Rockefeller Center",03/07/2012
Ship Talk,"$1,214,410","$1,026,160","$1,341,900",Signed and Dated,"56.02"" x 134.06""",1988,Acrylic / Canvas,43,"Christie's London, King Street",02/14/2012
"WELL, ROUGHLY",-not sold-,"$500,000","$700,000",Unavailable,"20.00"" x 24.00""",1971,Mixed Media  chocolate and rose petal stain / Canvas,227,Sotheby's New York,11/10/2011
ORO PURO,"$98,500","$80,000","$120,000",Unavailable,"23.00"" x 29.00""",1973,Mixed Media  blood / Paper,228,Sotheby's New York,11/10/2011
HOPE OUT THERE,"$164,500","$100,000","$150,000",Signed and Dated,"30.00"" x 24.00""",2003,Acrylic / Board,231,Sotheby's New York,11/10/2011
PEPPER SPOTS,-not sold-,"$200,000","$300,000",Signed and Dated,"11.50"" x 29.75""",1972,"Mixed Media  gunpowder, pastel and graphite / Paper",256,Sotheby's New York,11/10/2011
BLOCK PARTY,-not sold-,"$40,000","$60,000",Signed and Dated,"20.00"" x 20.00""",1991,Acrylic / Paper,257,Sotheby's New York,11/10/2011
SPACE FOR MESSAGE,"$37,500","$35,000","$45,000",Signed and Dated,"14.88"" x 15.13""",1991,Acrylic / Paper,258,Sotheby's New York,11/10/2011
"OLYMPIC, BEVERLY GLEN",-not sold-,"$20,000","$30,000",Signed and Dated,"8.25"" x 11.00""",1998,Mixed Media  acrylic and pencil on lithograph / Paper,259,Sotheby's New York,11/10/2011
CASS,-not sold-,"$100,000","$150,000",Signed and Dated,"17.25"" x 44.50""",1972,Mixed Media  tempera and pencil over silkscreen / Paper,260,Sotheby's New York,11/10/2011
NOW,"$1,314,500","$800,000","$1,200,000",Signed and Titled,"36.00"" x 42.00""",1990,Acrylic / Canvas,52,Sotheby's New York,11/09/2011
"AMPHETAMINES, MARBLE",-not sold-,"$800,000","$1,200,000",Signed and Titled,"20.00"" x 24.00""",1969,Oil / Canvas,55,Sotheby's New York,11/09/2011
The End #34,"$290,500","$150,000","$250,000",Signed and Dated,"23.88"" x 30.00""",2003,Acrylic  and graphite / Board,659,"Christie's New York, Rockefeller Center",11/09/2011
Strange Catch for a Fresh Water Fish,"$4,114,500","$3,000,000","$4,000,000",Signed and Dated,"59.00"" x 55.00""",1965,Oil / Canvas,58,"Christie's New York, Rockefeller Center",11/08/2011
Real Estate,"$962,500","$800,000","$1,200,000",Signed and Dated,"62.00"" x 90.00""",1982,Oil / Canvas,59,"Christie's New York, Rockefeller Center",11/08/2011
Rehab Pump Doctors,-not sold-,"$2,500,000","$3,500,000",Signed and Dated,"76.38"" x 72.00""",1998,Acrylic / Canvas,87,"Christie's New York, Rockefeller Center",11/08/2011
F,-not sold-,"$55,230","$62,130",Unavailable,"16.26"" x 21.50""",not given,Mixed Media  Chewing tobacco / Paper,27,Cornette De Saint Cyr,10/22/2011
She Was Bad,"$125,020","$94,650","$126,200",Signed and Dated,"23.03"" x 29.02""",1986,Acrylic  and pencil / Paper,262,"Christie's London, King Street",10/15/2011
Hear Me Sonny?,"$143,950","$126,200","$189,300",Signed and Dated,"40.35"" x 60.04""",1986,Acrylic  with dry pigment / Paper,268,"Christie's London, King Street",10/15/2011
OK,"$143,950","$78,880","$110,430",Inscribed and Signed,"20.08"" x 30.08""",1990,Acrylic / Cardboard,271,"Christie's London, King Street",10/15/2011
"Judy, 1992","$301,930","$281,230","$343,730",Signed and Dated,"25.98"" x 28.58""",1992,Acrylic / Canvas,24,Phillips de Pury & Co. (see Phillips),10/12/2011
"Pick, Pan, Shovel #7","$42,000","$50,000","$75,000",Signed and Dated,"22.00"" x 30.00""",1979,Pencil  and footprints / Paper,18,"Christie's New York, Rockefeller Center",09/22/2011
EMERGENCY NUMBERS,"$53,130","$40,000","$60,000",Signed and Dated,"7.50"" x 29.00""",1973,Gouache  and cherry juice / Paper,175,Sotheby's New York,09/22/2011
CAPITAL - E,"$38,040","$28,830","$40,050",Signed and Dated,"12.20"" x 9.25""",2008,Acrylic / Board,246,"Sotheby's London, New Bond Street",06/30/2011
